RESOURCE;FIELD;ANON;BRP;ES;EU;FISO;MO;SO;SP;TP;ORG;ENT;IEN;ID
substation_cluster;;;;;;;;;;;;;;
substation_cluster;id;;;;;R;;R;;;;;;
substation_cluster;name;;;;;R;;R;;;;;;
substation_cluster;business_id;;;;;R;;R;;;;;;
substation_cluster;business_id_type;;;;;R;;R;;;;;;
substation_cluster;averaged_position;;;;;R;;R;;;;;;
substation_cluster;area;;;;;R;;R;;;;;;
substation_cluster;status;;;;;R;;R;;;;;;
substation_cluster;recorded_at;;;;;R;;R;;;;;;
substation_cluster;recorded_by;;;;;R;;R;;;;;;
substation;;;;;;;;;;;;;;
substation;id;;;;;R;;R;;;;;;
substation;name;;;;;R;;R;;;;;;
substation;business_id;;;;;R;;R;;;;;;
substation;business_id_type;;;;;R;;R;;;;;;
substation;kind;;;;;R;;R;;;;;;
substation;primary_concessionaire;;;;;R;;R;;;;;;
substation;substation_cluster_id;;;;;R;;R;;;;;;
substation;voltage_levels;;;;;R;;R;;;;;;
substation;position;;;;;R;;R;;;;;;
substation;status;;;;;R;;R;;;;;;
substation;recorded_at;;;;;R;;R;;;;;;
substation;recorded_by;;;;;R;;R;;;;;;
line;;;;;;;;;;;;;;
line;id;;;;;R;;R;;;;;;
line;name;;;;;R;;R;;;;;;
line;business_id;;;;;R;;R;;;;;;
line;business_id_type;;;;;R;;R;;;;;;
line;from_substation_cluster_id;;;;;R;;R;;;;;;
line;to_substation_cluster_id;;;;;R;;R;;;;;;
line;line;;;;;R;;R;;;;;;
line;status;;;;;R;;R;;;;;;
line;recorded_at;;;;;R;;R;;;;;;
line;recorded_by;;;;;R;;R;;;;;;
accounting_point_near_transformer;;;;;;;;;;;;;;
accounting_point_near_transformer;accounting_point_id;;;;;R;;R;;;;;;
accounting_point_near_transformer;substation_id;;;;;R;;R;;;;;;
